,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
9128,2.47839011,0.61959753,100,['0100'],TRUE,0.34277508,0.63010613,1.08756803,1.17980835,0.73455918,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0)",[4]
9129,2.47839011,0.61959753,110,['0110'],TRUE,0.34277541,0.63010872,1.08756663,1.1798065,0.73456367,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[4]
9130,2.31374271,0.57843568,110,['0110'],TRUE,0.28851607,0.61610142,1.01712414,1.02944898,0.67488204,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[4]
9131,2.31374271,0.57843568,100,['0100'],TRUE,0.28851603,0.61610182,1.01712321,1.02944905,0.67488241,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",[4]
9132,2.78439849,0.69609962,100,"['0110', '0100']",TRUE,0.33180746,0.62212812,0.93611422,1.20295947,0.77075149,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[4, 4]"
9133,1.75018806,0.87509403,110,"['0111', '0110', '0101', '0100', '0010', '0000']",TRUE,0.26823666,0.59590019,0.97740233,1.11618605,0.86698714,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[2, 2, 2, 2, 2, 2]"
9134,2.6917081,0.67292702,100,['0100'],TRUE,0.43673354,0.78090349,1.18476206,1.02391667,0.79859748,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)",[4]
9135,2.6917081,0.67292702,110,['0110'],TRUE,0.43673308,0.78090591,1.18476527,1.02391411,0.79859383,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[4]
9136,3.16312734,0.79078184,110,"['0110', '0100']",TRUE,0.43693402,3.87987971,4.31401043,1.5511427,1.03358233,"(1, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[4, 4]"
9137,2,1,0,"['1010', '1000', '0111', '0110', '0101', '0100', '0010', '0000']",TRUE,0.27942914,3.59685683,1.00777637,1.38102163,0.68305602,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2, 2, 2]"
9138,2.91682722,0.7292068,100,['0100'],TRUE,0.51535041,0.73868564,1.33315622,1.3331556,0.73868609,"(1, 0, 0, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0)",[4]
9139,2.91682722,0.7292068,110,['0110'],TRUE,0.51535052,0.73868607,1.33315597,1.33315592,0.73868725,"(1, 0, 0, 1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",[4]
9140,1.71648319,0.85824159,110,"['1010', '1000', '0111', '0110', '0101', '0100']",TRUE,0.22960079,0.62932438,1.28129412,0.94690025,0.41708406,"(1, 0, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2]"
9141,3.02046398,0.755116,100,"['0110', '0100']",TRUE,0.48387712,2.35686404,3.90889797,3.0261967,1.58041239,"(1, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)","[4, 4]"
9142,2.87194149,0.71798537,110,['0110'],TRUE,0.52270525,0.79799212,1.21645937,0.96224074,0.63018229,"(1, 0, 0, 1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0)",[4]
9143,2.87194149,0.71798537,100,['0100'],TRUE,0.52270513,0.79799102,1.21646178,0.9622394,0.63018292,"(1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[4]
9144,2.30516733,0.76838911,110,"['0110', '0100', '0010']",TRUE,0.30810734,2.52233222,4.15445445,2.07483196,0.79996462,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[3, 3, 3]"
9145,2.84920325,0.56984065,110,['0110'],TRUE,0.29309132,0.48966338,0.77595777,0.89487578,0.56334379,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[5]
9146,2.43329287,0.81109762,110,"['1010', '0110', '0100', '0010']",TRUE,0.28680506,0.50431035,0.96023989,1.13309787,0.6242226,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[3, 3, 3, 3]"
9147,2.94057119,0.58811424,110,['0110'],TRUE,0.34509477,0.60838521,1.05791161,1.09988631,0.72800329,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[5]
9148,2.89658368,0.57931674,110,['0110'],TRUE,0.29202256,0.55750325,0.92100627,1.11926006,0.67198238,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[5]
9149,2.2791685,0.75972283,110,"['1010', '0110', '0100']",TRUE,0.31464382,0.61036204,1.20664834,0.82940985,0.52906164,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[3, 3, 3]"
9150,2.89658368,0.57931674,110,['0110'],TRUE,0.29202237,0.55750195,0.92100535,1.11926209,0.67198519,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0)",[5]
